  Average Equal Weighted Returns -- Monthly,Cnsmr,Manuf,HiTec,Hlth ,Other
1957-07,0.6,0.33,0.1,2.11,1.17
1957-08,-3.18,-5.48,-6.96,-2.37,-5.7
1957-09,-3.21,-6.21,-5.86,-1.54,-6.6
1957-10,-5.75,-6.06,-8.43,-1.6,-8.8
1957-11,1.4,2.77,5.13,7.41,-0.63
1957-12,-3.51,-5.33,-6.61,-0.6,-5.48
1958-01,10.7,10.11,10.83,2.36,13.15
1958-02,0.02,-1.85,-2.35,4.28,-1.07
1958-03,3.58,3.64,4.93,10.34,2.08
1958-04,3.93,2.26,2.08,8.46,4.01
1958-05,3.66,4.01,5.54,2.43,3.61
1958-06,3.02,2.8,4.08,2.72,4.61
1958-07,3.92,6.49,3.96,4.17,5.55
1958-08,5.04,1.86,4.84,3.29,2.31
1958-09,5.85,4.42,5.18,11.1,6.03
1958-10,2.85,2.95,6.22,1.31,3.85
1958-11,4.54,3.05,10.33,8.59,4.44
1958-12,3.57,4.2,5.07,4.95,2.81
1959-01,5.26,4.1,2.66,-0.09,4.05
1959-02,3.66,1.85,8.84,4.86,1.47
1959-03,1.43,0.96,3.08,4.51,0.08
1959-04,2.29,2,9.39,11.06,1.24
1959-05,0.63,0.99,0.45,-2.46,0.92
1959-06,0.71,0.32,1.12,6.27,-0.26
1959-07,3.98,3.34,2.14,3.79,0.85
1959-08,-0.2,-1.61,-3.97,0.02,-2.05
1959-09,-2.98,-5.23,-5.88,-6.1,-4.07
1959-10,1.97,1.59,7,5.48,1.22
1959-11,0.91,1.86,5.07,4.8,-0.48
1959-12,2.6,1.96,3.99,-0.91,1.98
1960-01,-3.06,-4.14,-7.73,-4.71,-2.6
1960-02,1.05,0.29,5.46,1.2,-0.01
1960-03,-3.01,-2.12,-2.33,0.15,-2.7
1960-04,-0.89,-2.53,-2.32,1.17,-2.42
1960-05,1.55,1.56,11.17,11.25,0.06
1960-06,3.31,1.74,1.41,3.33,1.93
1960-07,-1.26,-1.62,-5.74,-4.15,-1.68
1960-08,3.85,3.48,5.66,1.92,4.11
1960-09,-4.94,-5.97,-10.16,-8.55,-5.73
1960-10,-1.38,-2.14,-6.44,-4.32,-2.12
1960-11,4.95,4.18,6.32,4.21,5.35
1960-12,2.86,4.63,3.62,6.04,2.64
1961-01,7.93,8.44,4.76,8.13,9.51
1961-02,6.57,5.81,7.65,6.55,5.56
1961-03,6.42,3.99,6.31,6.5,4.61
1961-04,0.65,0.63,2.25,-2.72,1.34
1961-05,4.05,4.53,3.24,1.57,4.99
1961-06,-3.18,-4.29,-5.71,-3.27,-4.47
1961-07,0.95,1.51,0.85,1.8,0.33
1961-08,2.9,1.61,-0.41,4.24,3.33
1961-09,-1.55,-3.1,-5.96,-2.54,-3.24
1961-10,3.35,1.8,-0.24,3.77,2.18
1961-11,6.41,3.63,6.15,3.06,4.7
1961-12,-0.66,0.17,-0.15,-2.61,-1.57
1962-01,-1.57,-0.45,-2.63,-3.49,1
1962-02,1.02,1.94,0.26,2.1,1.64
1962-03,-0.45,-0.32,-1.52,0.33,-1.66
1962-04,-7.08,-6.1,-9.34,-9.69,-6.73
1962-05,-9.48,-9.35,-12.92,-12.47,-9.51
1962-06,-8.31,-7.9,-11.12,-11.78,-8.74
1962-07,6.19,5.8,9.46,5.77,7.2
1962-08,2.73,2.47,4.6,-3.78,4.43
1962-09,-6.43,-5.21,-9.53,-5.56,-6.49
1962-10,-3.16,-1.56,-4.04,0.73,-2.09
1962-11,11.74,13.13,16.85,19.63,17.33
1962-12,-0.64,-0.88,-2.66,-0.25,-0.66
1963-01,8.18,7.73,7.78,7,8.24
1963-02,-1.74,-1.07,-3.98,-2.11,-0.43
1963-03,1.55,2.62,-0.26,1.27,2.8
1963-04,3.77,3.52,3.87,7.47,4.46
1963-05,2.42,3.18,3.72,-0.16,5.32
1963-06,-1.55,-1.58,-1.82,-1.79,-1.59
1963-07,-0.37,-0.43,-2.37,0.6,-1.06
1963-08,3.68,4.54,3.58,7.28,4.39
1963-09,-1.26,-1.08,-0.1,-1.33,-1.48
1963-10,1.85,0.41,4.49,3.8,0.95
1963-11,-2.45,-0.73,-2.55,-1.55,-1.96
1963-12,-1.32,0.14,-3.2,-0.45,0.66
1964-01,3.28,3.69,2.32,3.66,2.92
1964-02,2.07,2.32,1.24,0.97,5.13
1964-03,1.63,3.52,2.29,-1.4,3.47
1964-04,1.09,0.08,-1.64,-1.47,-0.25
1964-05,0.17,1.32,-0.93,0,0.97
1964-06,1.93,1.14,0.56,-0.27,-0.44
1964-07,2.94,3.47,1.56,4.83,2.41
1964-08,-0.37,-0.16,-1.71,-2.43,-1.36
1964-09,3.62,3.17,4.4,5.24,5.41
1964-10,2.11,1.73,1.13,2.29,2.57
1964-11,0.72,-0.13,-1.52,2.05,-0.76
1964-12,-1.59,-1.41,-0.6,3.48,-1.66
1965-01,8.02,6.91,9.7,7.71,6.06
1965-02,3.56,3.06,3.43,2.05,3.94
1965-03,1.77,1.29,1.8,0.68,1.04
1965-04,4.23,4.31,5.63,2.98,2.75
1965-05,0.51,-1.03,0.19,-1.48,-1.62
1965-06,-8.41,-7.9,-10.4,-6.35,-8.05
1965-07,2.04,3,4.86,4.36,3.07
1965-08,3.71,3.43,8.68,6.66,4.35
1965-09,2.2,2.85,5.49,3.21,1.84
1965-10,5.35,5.88,8.43,4.25,5.86
1965-11,3.28,4.06,13.08,4.46,5.12
1965-12,3.57,4.08,3.39,4.91,6.42
1966-01,6.49,5.98,6.01,4.41,7.58
1966-02,3.02,2.32,6.32,-0.27,3.4
1966-03,-1.47,-0.83,-1.77,-1.56,0.52
1966-04,3.35,4.58,10.36,4.7,4.3
1966-05,-8.44,-7.96,-13.01,-7.02,-9.28
1966-06,-0.9,-0.82,2.03,1.95,-0.89
1966-07,-1.82,-1.32,-2.17,-1.44,-1.78
1966-08,-10.09,-9.57,-8.86,-9.49,-11.87
1966-09,-2,-1.2,-3.69,-1.84,-2.28
1966-10,-2.48,0.8,-7.03,2.16,-2.55
1966-11,1.36,2.93,12.16,7.52,7.29
1966-12,-0.14,2.49,4.78,1.94,0.68
1967-01,17.27,15.63,22.73,10.14,20.07
1967-02,5.56,3.27,5.33,2.86,4.61
1967-03,4.29,6.25,7.71,8.58,6.66
1967-04,5.03,3.75,6.28,5.28,2.42
1967-05,-0.56,-0.84,-2.65,-4.43,0.57
1967-06,8.2,7.66,13.5,6.25,7.84
